date,close,volume,move,
11/15/2016,107.11,32216900,-1,0.673334891
7/26/2016,96.67,42342400,-1,0.979802566
10/7/2015,110.78,46602587,0,0.653416411
10/12/2015,111.6,30114425,0,0.993586438
4/5/2016,109.81,26495312,0,0.149247774
6/3/2016,97.92,28504888,0,0.480792457
3/24/2015,126.69,32842304,1,0.135416877
5/5/2016,93.24,35763138,0,0.727882358
5/6/2015,125.01,72141010,0,0.283811464
4/14/2016,112.1,25337435,1,0.268881293
10/17/2014,97.67,68179688,-1,0.117364713
11/4/2014,108.6,41574365,0,0.446049928
9/18/2015,113.45,73418992,0,0.157137663
3/31/2016,108.99,25685672,0,0.851094149
10/15/2015,111.86,37340996,0,0.086086965
8/13/2015,115.15,48535789,0,0.941967129
11/11/2016,108.43,34143898,1,0.009497427
7/14/2015,125.61,31768139,0,0.88209678
1/28/2016,94.09,55557109,-1,0.997330294
12/7/2015,118.28,32084249,0,0.453450528
10/10/2014,100.73,66331592,0,0.281084001
6/19/2014,91.86,35527686,0,0.95373727
7/8/2016,96.68,28912103,0,0.464319482
10/18/2016,117.47,24553478,0,0.211954999
5/5/2014,85.85,71766758,0,0.601465926
11/9/2015,120.57,33871405,1,0.672728031
9/29/2015,109.06,73135853,0,0.843940301
10/14/2015,110.21,44325611,0,0.410587097
12/11/2015,113.18,46886161,0,0.209477914
6/1/2016,98.46,29173285,0,0.700166725
9/19/2014,100.96,70902406,0,0.575680774
10/24/2016,117.65,23538673,0,0.98545741
1/12/2016,99.96,49154227,1,0.442740185
5/26/2016,100.41,56093437,0,0.294052625
11/22/2016,111.8,25965534,0,0.899755069
9/1/2016,106.73,26701523,0,0.954938337
3/30/2017,143.93,21179100,0,0.237911813
6/8/2015,127.8,52674786,0,0.561312364
1/19/2017,119.78,25597291,0,0.829549839
7/16/2014,94.78,53502415,0,0.150122227
11/7/2014,109.01,33691535,0,0.688118357
10/14/2014,98.75,63688562,0,0.445916181
9/30/2015,110.3,66105030,0,0.808439872
1/20/2017,120,29479900,0,0.378459634
3/21/2017,139.84,39529912,0,0.398920701
6/20/2014,90.91,100898066,0,0.057223322
5/21/2015,131.39,39730364,0,0.387478389
7/24/2015,124.5,42162332,0,0.300245363
12/31/2015,105.26,40912316,0,0.703543721
5/15/2014,84.12,57711731,0,0.451942646
1/8/2016,96.96,70798016,0,0.662868535
11/3/2016,109.83,26932602,0,0.00319643
6/10/2015,128.88,39087250,0,0.57192672
12/9/2015,115.62,46361357,0,0.441579638
8/12/2014,95.97,33795352,0,0.57598444
8/28/2014,102.25,68459801,0,0.900644897
10/8/2014,100.8,57404674,0,0.229368442
11/10/2014,108.83,27195547,0,0.132172119
11/25/2014,117.6,68840440,0,0.256890906
7/23/2014,97.19,92917719,0,0.51731326
3/8/2016,101.03,31274161,0,0.498749636
7/20/2016,99.96,26275968,0,0.608978697
10/1/2015,109.58,63747954,0,0.242786613
9/4/2015,109.27,49628615,-1,0.530246027
4/19/2016,106.91,32292344,0,0.669142736
6/27/2016,92.04,46622188,0,0.77554758
2/26/2015,130.42,91287529,0,0.279753644
9/9/2014,97.99,189846255,-1,0.596732724
