date,close,volume,move,
6/20/2016,99.57,8268636,0,0.518433843
6/9/2016,97.84,5379363,0,0.395259421
11/11/2016,97.68,23008062,0,0.608878551
1/19/2017,107.28,5350191,0,0.054677262
6/9/2015,108.52,7711756,0,0.31083905
12/4/2014,93.23,6049063,0,0.351339788
8/10/2016,97.86,27181275,0,0.01171141
11/19/2014,89.82,7709962,0,0.992385017
9/22/2015,102.49,8308140,0,0.892423811
6/16/2016,98.38,7129696,0,0.173838092
8/8/2014,86.85,6382687,0,0.699108891
10/23/2015,113.09,7921750,0,0.893432235
7/10/2015,116.44,7020711,0,0.105459683
3/16/2016,98.44,6072856,0,0.167501473
7/18/2014,85.81,4719105,0,0.662192277
6/8/2015,109.29,6068142,0,0.03763499
10/7/2016,92.49,6144089,0,0.915164896
8/1/2016,95.54,7131587,0,0.678157404
5/11/2016,102.29,27011855,0,0.36630907
7/22/2015,119.33,4714082,0,0.78276016
5/7/2014,80.29,11907798,0,0.462241416
1/17/2017,107.97,7586483,0,0.889719807
8/17/2015,109.05,7954040,0,0.676287091
9/1/2016,94.26,6274204,0,0.472926957
2/23/2015,104.99,5587069,0,0.383333056
2/11/2015,101.87,5868228,0,0.813370103
5/31/2016,99.22,10396157,0,0.62028621
11/12/2015,116.21,7222996,0,0.938121267
9/23/2015,101.57,5807207,0,0.635634891
5/9/2014,81.95,5376634,0,0.956664428
11/25/2015,118.67,4751518,1,0.880424795
5/6/2014,81.03,10696487,0,0.395997399
7/27/2016,96.33,6911392,0,0.70168934
6/27/2016,94.38,9485245,0,0.943827884
7/29/2014,86.2,5479099,0,0.938542165
5/3/2016,103.78,6227081,0,0.562709679
12/18/2014,92.61,9387548,0,0.678725079
9/12/2016,93.64,9367303,0,0.761547138
10/29/2014,89.53,5442103,0,0.399359272
5/20/2014,81.09,6023361,0,0.291921417
11/30/2016,99.12,11369177,0,0.743345342
5/11/2015,108.6,6728542,0,0.996253355
12/21/2016,105.56,5202436,0,0.654017558
8/13/2015,107.52,9754466,0,0.18541026
8/16/2016,96.88,5777756,0,0.638852975
4/10/2015,106.95,3251487,0,0.371420095
9/16/2016,92.56,10568647,0,0.237515521
4/22/2015,107.94,4060485,0,0.041469423
5/16/2014,80.39,5823957,0,0.131042242
11/9/2016,94.64,8635729,0,0.71130216
9/27/2016,91.72,9167391,0,0.394395926
7/1/2016,98.03,5681627,0,0.439004432
6/25/2015,114.45,6213483,0,0.11298834
11/12/2014,89.9,5262460,0,0.859370721
5/12/2015,109.24,6345037,0,0.933625108
5/13/2015,109.19,4141357,0,0.071239777
10/9/2014,85.71,8727122,0,0.37053441
7/28/2016,95.91,7713512,0,0.831619941
12/15/2014,90.9,6746824,0,0.335372633
4/9/2015,106.77,3924416,0,0.78308116
1/12/2016,101.46,8863921,1,0.042461279
8/26/2014,90.02,4117717,0,0.613858828
9/10/2015,102.6,9009786,0,0.103657926
10/19/2015,109.47,7975423,0,0.879211135
2/23/2016,95.38,6195462,0,0.455271356
7/19/2016,99.47,5742736,0,0.035084298
11/25/2016,98.82,4396763,0,0.239873145
2/24/2017,110.32,4786814,0,0.108275802
