date,close,volume,move,
11/18/2015,135.82,4149181,0,0.074684246
10/17/2014,182.05,4354442,1,0.897771757
11/14/2014,164.16,4978415,0,0.94055911
7/1/2016,152.35,2658280,0,0.764439176
4/27/2016,150.47,3086611,1,0.692176937
1/14/2016,132.91,5708301,1,0.078901791
2/27/2017,179.4,3691327,0,0.786464414
9/28/2016,158.29,3310008,0,0.003304708
9/24/2015,144.41,3243108,0,0.596355768
9/11/2014,191.72,2299390,0,0.076999332
1/8/2016,131.63,4762706,0,0.988159461
2/17/2017,180.67,3552495,0,0.775981985
11/2/2016,151.95,3074438,0,0.382816555
8/18/2014,189.36,2420398,0,0.565497273
11/8/2016,155.17,3921944,0,0.260899289
12/6/2016,160.35,2858962,-1,0.154738182
10/11/2016,154.79,2901326,0,0.877478796
1/5/2016,135.85,nan,0,0.674842953
5/1/2014,193.53,3675823,0,0.186916572
8/26/2016,158.32,2498909,0,0.564206402
11/7/2016,155.72,3706214,0,0.120817789
12/22/2014,161.44,4682509,0,0.548952152
2/3/2017,175.82,2744400,0,0.905676636
11/3/2014,164.36,4690274,0,0.139888543
4/11/2016,149.25,3832395,0,0.079735477
9/26/2014,190.06,2494024,0,0.848401376
1/25/2016,122.08,5427835,0,0.160612689
11/28/2016,164.52,4435900,0,0.606525602
12/14/2016,168.51,4124161,0,0.326018424
5/8/2014,188.91,2431945,0,0.566814971
3/23/2016,145.4,4753828,0,0.152932022
3/31/2015,160.5,4255368,0,0.181286473
8/28/2015,147.98,4061118,0,0.067448678
7/21/2016,160.45,3518900,0,0.652707582
2/19/2015,163.89,3504380,0,0.964230996
2/29/2016,131.03,4376341,-1,0.7547804
5/27/2016,152.84,2456289,0,0.124188042
2/27/2015,161.94,4410037,0,0.083140525
6/27/2016,143.5,5166665,0,0.528886118
11/11/2016,161.27,3731312,0,0.69426844
3/16/2015,157.08,3749638,0,0.702311042
11/18/2014,161.89,5412495,0,0.076661281
10/19/2015,149.22,6851605,1,0.066192975
10/22/2015,144.09,5567729,0,0.352486651
6/7/2016,153.33,4464985,0,0.987476954
9/3/2014,191.95,1824378,0,0.544366363
5/31/2016,153.74,5160800,0,0.293521219
9/25/2015,145.42,3457975,0,0.356089479
12/15/2014,153.06,6500311,0,0.569429511
7/20/2015,173.22,nan,1,0.498704493
2/6/2015,156.72,3256452,0,0.302559988
8/19/2015,153.94,4206381,0,0.640041928
1/12/2016,132.9,5078678,0,0.376662824
3/16/2016,144.79,4200019,0,0.044278449
2/22/2016,133.77,4441519,0,0.263751045
2/15/2017,181.68,2914292,0,0.117929668
1/15/2015,154.57,4251723,0,0.80843663
6/2/2016,153.5,2642601,0,0.756657207
7/23/2014,193.63,3584465,0,0.272723821
1/27/2016,120.96,4999341,0,0.867085103
1/23/2015,155.87,4834847,0,0.26227712
12/9/2015,136.61,4614993,0,0.711546016
9/15/2014,191.81,2457803,0,0.087201965
3/7/2017,180.38,2930800,0,0.951166887
4/21/2015,164.26,9683592,0,0.511948945
11/23/2015,138.46,5137922,0,0.287414857
8/20/2014,190.1,2177702,0,0.664331689
8/5/2014,187.1,3307945,0,0.88488063
10/1/2014,187.17,3723192,0,0.153888157
1/28/2016,122.22,3942349,-1,0.313595747
9/12/2014,191.28,2900967,0,0.639258995
1/15/2016,130.03,8942710,0,0.949936685
9/8/2014,190.14,2525626,0,0.162715589
9/17/2015,148.14,3953300,1,0.188881331
4/6/2016,150.02,4179157,0,0.59375381
5/21/2014,186.39,2988348,0,0.871587336
3/4/2016,137.8,3966935,0,0.707052093
3/11/2015,156.8,5709890,0,0.199585423
7/8/2015,163.16,2776286,0,0.152584517
7/6/2015,164.73,3079833,0,0.758024033
7/9/2014,188.42,3309559,0,0.569126568
9/2/2014,191.56,2679659,0,0.98333636
9/29/2014,189.64,2344723,0,0.628142195
5/4/2016,144.25,2575776,0,0.703421272
10/26/2016,151.81,2811728,0,0.303830993
7/19/2016,159.58,7120017,0,0.866417512
9/22/2015,144.43,3478491,0,0.746654448
5/27/2015,172,2764378,0,0.993788879
12/11/2015,134.57,5333767,0,0.860937525
6/17/2015,167.17,2862993,0,0.95370366
7/13/2015,169.38,4228963,0,0.168147384
10/19/2016,151.26,4632854,0,0.661796846
2/9/2016,124.07,5923690,1,0.812007586
9/30/2014,189.83,2932556,0,0.063102073
4/17/2015,160.67,4314432,-1,0.959038179
11/18/2016,160.39,2981633,0,0.281962831
6/16/2015,166.84,3249842,0,0.807456105
8/14/2014,187.88,1929581,0,0.160341879
