date,close,volume,move,
5/9/2016,29.8,16813826,0,0.272862391
2/27/2017,36.51,14065236,0,0.667366804
7/30/2014,34.35,32788878,0,0.462229937
5/11/2015,32.69,18358579,0,0.784318969
5/23/2016,30.23,20809308,-1,0.842870504
4/2/2015,30.81,20909633,0,0.566828955
4/20/2016,32,57414543,0,0.585339815
10/7/2015,32.32,36796100,0,0.613763745
2/26/2015,33.65,25928435,0,0.087657151
8/28/2015,28.42,43004123,0,0.589220157
5/27/2015,33.71,nan,0,0.763037688
9/15/2016,36.56,24585103,-1,0.095451261
7/14/2016,35.2,25296374,0,0.011189442
10/1/2015,30,29314507,0,0.257145681
8/7/2014,32.68,27823411,0,0.859684544
4/12/2016,31.86,16647819,0,0.779870948
3/8/2017,35.62,20920148,0,0.034936477
12/17/2014,36.24,31637748,-1,0.657221694
10/1/2014,33.99,35095646,0,0.315331302
6/12/2015,31.32,31629752,0,0.447927365
6/5/2015,31.84,27778516,0,0.516483349
7/24/2014,34.25,33180903,0,0.332937808
11/21/2014,35.59,56721572,0,0.248950898
12/2/2015,34.83,18688180,1,0.329510133
2/10/2016,28.23,26850901,0,0.163230195
7/3/2014,31.14,20437633,0,0.528436338
11/2/2016,34.6,21416408,0,0.550128038
9/21/2016,37.45,21233698,0,0.826948044
7/6/2015,30.04,32468065,0,0.715730406
10/14/2016,37.45,19123944,0,0.798635162
1/12/2015,36.6,29400781,0,0.362803808
11/16/2016,34.84,18535200,0,0.55789631
4/28/2015,33.02,29572822,0,0.948567432
10/15/2015,32.75,36909756,0,0.939605069
3/11/2015,32.33,49683649,1,0.669133123
9/29/2014,34.9,29003106,0,0.691468269
3/28/2016,31.9,11419161,0,0.260046254
3/21/2017,35.04,22814547,0,0.729984263
2/19/2015,34.21,11017541,0,0.030907685
2/9/2017,35.46,47802687,0,0.8120009
6/23/2016,32.99,22048784,1,0.573463534
9/2/2016,36.08,16726718,0,0.091824493
3/25/2015,29.89,37690971,0,0.808873123
7/16/2015,29.9,81166689,0,0.832482616
11/12/2015,32.4,23265389,0,0.757538352
5/20/2015,33.37,21359801,0,0.82596759
5/10/2016,30.14,16963133,0,0.384815534
7/21/2016,34.27,63708597,0,0.100517631
1/26/2017,37.56,34144843,0,0.264710677
1/23/2015,36.44,27427055,0,0.414615038
6/19/2015,32.07,39008379,0,0.790514774
8/9/2016,34.92,12578884,0,0.424866851
4/17/2015,32.47,30593601,0,0.800444458
9/10/2014,35.02,19964378,0,0.298418972
2/25/2015,33.94,24686267,0,0.640387159
3/10/2017,35.91,25402348,1,0.258175561
6/19/2014,30.09,27166851,0,0.806350735
1/9/2015,36.76,22850524,0,0.128483068
9/16/2014,34.93,20878492,0,0.384595045
6/23/2014,30.23,26529643,0,0.813317367
7/1/2016,32.75,17084570,0,0.048175288
2/4/2016,29.77,29109722,1,0.564886737
9/10/2015,29.27,25121514,0,0.435834017
2/18/2015,34.26,19992887,0,0.476133072
8/8/2016,35.04,19497332,0,0.308317909
12/5/2016,34.39,14461972,0,0.891406256
10/16/2015,33.04,28659157,0,0.069182327
9/21/2015,29.16,24179487,0,0.849712907
5/29/2015,34.46,43545500,0,0.358381025
11/4/2016,33.61,21914746,-1,0.793873759
7/22/2014,34.79,42920550,0,0.423194957
11/3/2014,34.31,28703617,0,0.48763608
6/11/2014,27.93,27749284,0,0.236506301
5/3/2016,30.36,26923067,0,0.508809585
1/27/2016,29.81,26136434,0,0.380998726
7/15/2014,31.71,61218169,-1,0.989162529
12/9/2014,36.89,28487318,0,0.822207849
3/9/2016,30.86,14572783,0,0.822573626
4/21/2016,31.97,28165950,0,0.361983092
5/14/2015,32.97,21098939,0,0.60763754
10/26/2015,34.59,22603479,0,0.860595361
1/12/2016,32.68,28587697,1,0.171677453
2/17/2015,34.74,19374148,0,0.844270906
4/24/2015,32.08,22759909,0,0.876161549
6/2/2015,33.27,36351102,0,0.624925635
9/30/2015,30.14,40840801,0,0.750414279
1/11/2017,36.95,21293700,0,0.066011637
3/2/2017,35.91,23602100,0,0.601380821
2/23/2015,33.76,25565529,0,0.412993311
12/12/2016,35.97,21985830,-1,0.01101991
4/18/2016,31.65,21516622,0,0.654386881
9/15/2015,29.73,29399903,0,0.689457344
1/29/2015,34.21,29569376,1,0.067339497
2/2/2015,33.65,38733750,0,0.729455256
7/10/2014,31.26,32458765,0,0.623447582
6/25/2014,30.88,44294569,0,0.853042389
7/8/2016,34,23341870,0,0.024313421
