date,close,volume,move,
3/7/2017,128.07,3332350,0,0.399921147
5/1/2015,97.8,6280298,0,0.157836751
12/10/2014,90,12020817,0,0.147724602
5/15/2014,102.5,3810901,0,0.417710102
12/29/2015,120.07,3213942,0,0.269591952
2/15/2017,126.48,nan,0,0.518706608
10/23/2014,91.02,5966894,0,0.12282822
9/22/2014,93.93,4875669,0,0.816862531
9/1/2016,115.4,3966619,0,0.596774861
12/11/2014,90.97,8972720,0,0.654912077
2/14/2017,125.81,2663089,0,0.641020855
7/26/2016,121.71,14563682,0,0.286849804
10/30/2015,112.25,6409469,0,0.077554902
2/3/2016,121.47,9289788,0,0.802872802
5/9/2014,102.93,3649434,0,0.436613829
12/20/2016,123.33,2768822,0,0.687131138
8/4/2016,118.3,4313219,0,0.992679167
12/1/2016,118.47,4444978,0,0.590345432
10/28/2016,112.1,3304686,0,0.223876962
6/12/2015,95.06,3702368,0,0.80205424
6/19/2014,101.91,3376565,0,0.143533178
10/10/2016,114.71,3290302,0,0.628237902
8/21/2014,94.53,5981567,0,0.31925543
6/21/2016,122.63,4749755,0,0.367677819
6/3/2016,121.35,4643011,0,0.751023744
8/25/2015,91.21,10456417,-1,0.074212389
12/6/2016,119.25,3367984,0,0.636242027
11/2/2016,112.39,3512534,0,0.514493131
12/3/2014,95.5,5324034,0,0.621047061
9/28/2015,95.96,6454900,0,0.786729094
3/19/2015,95.98,3615389,0,0.076073029
10/21/2014,91.01,11422211,0,0.804158984
11/9/2015,112.93,8423804,0,0.117789402
11/22/2016,119.69,3699103,0,0.21254422
5/5/2015,96.13,7637026,0,0.844198824
7/17/2015,97.5,6429758,0,0.90135412
12/9/2015,116.58,7604711,0,0.324353405
6/11/2015,95.59,4203867,0,0.835385033
10/17/2014,91.04,7074463,0,0.642894169
8/3/2016,117.52,4120014,0,0.944138623
6/23/2016,121.21,3832757,0,0.538786131
2/11/2015,94.21,5153937,0,0.31836226
10/16/2015,104.82,6749182,0,0.539166467
2/29/2016,117.19,6265988,0,0.469866708
7/2/2015,96.17,3250897,0,0.754483133
5/1/2014,100.96,3531410,0,0.892927314
8/27/2014,94.65,9027320,0,0.64756463
8/22/2014,94.45,3594144,0,0.64538379
5/16/2014,103.14,5080977,0,0.308021316
7/14/2014,100.47,4163000,0,0.037674812
2/17/2015,94.35,5971992,0,0.580699428
8/10/2016,118.8,2941743,0,0.076625696
11/24/2015,114.28,6047679,0,0.96556619
12/31/2015,118.14,3723186,0,0.445282906
5/11/2016,129.14,6874179,0,0.347355742
9/8/2014,92.5,5260721,0,0.980645358
9/23/2016,117.17,2775956,0,0.13497846
11/5/2014,94.64,4123841,0,0.228806778
3/10/2017,127.98,2639839,0,0.883574781
3/5/2015,99.11,9438793,0,0.382808816
6/2/2016,121.17,4740240,0,0.645274362
6/23/2014,101.91,2919197,0,0.276262654
6/29/2015,95.44,8412817,0,0.899481137
3/1/2017,129.05,5471550,0,0.621010294
1/26/2015,90.67,7753275,0,0.97388126
11/19/2014,96.56,6631311,0,0.681461716
6/30/2015,95.07,6656019,0,0.783340792
9/25/2015,97.59,4820658,0,0.893736482
3/12/2015,96.25,8765071,0,0.287797473
3/11/2015,94.96,9391099,0,0.804497734
11/20/2015,113.91,6659387,0,0.746004938
