date,close,volume,move,
11/4/2014,47.57,21530813,0,0.313856698
1/10/2017,62.62,18593004,0,0.733455885
6/9/2015,45.65,24406057,-1,0.670357511
10/27/2014,45.91,30371308,0,0.222091409
11/25/2015,53.69,21005147,0,0.588049926
6/26/2014,41.72,23604409,0,0.693474153
1/26/2017,64.27,43554645,-1,0.894401153
6/2/2014,40.79,18504300,0,0.732668235
2/28/2017,63.98,23239825,0,0.532490946
9/17/2015,44.25,29817918,0,0.61113
10/13/2015,46.89,18937148,0,0.046930735
1/17/2017,62.53,20663983,0,0.766454721
1/6/2016,54.05,39518863,1,0.209899137
9/16/2014,46.76,27910571,0,0.232770497
9/30/2016,57.6,29910788,0,0.508699166
2/23/2017,64.62,20273128,0,0.217877163
4/26/2016,51.44,33262278,0,0.96317867
6/1/2016,52.85,25324828,0,0.349877451
3/24/2016,54.21,18842667,0,0.293523382
8/26/2015,42.71,63031299,-1,0.622784543
5/24/2016,51.59,34621638,0,0.934803631
12/4/2014,48.84,30345132,0,0.749425238
10/22/2015,48.03,54435667,-1,0.603394223
11/11/2016,59.02,38767843,0,0.953362329
7/12/2016,53.21,27317555,0,0.547539404
7/3/2014,41.8,15969310,0,0.072467555
8/31/2016,57.46,20860269,0,0.171892932
8/28/2014,44.88,17657643,0,0.840589679
5/18/2016,50.81,nan,0,0.263332829
1/31/2017,64.65,25270549,0,0.709620707
10/4/2016,57.24,20085874,0,0.325600543
11/20/2014,48.7,21510587,0,0.158473972
8/27/2015,43.9,50498307,0,0.659871265
10/6/2014,46.09,20603960,0,0.514351487
4/21/2015,42.64,26013844,0,0.159457203
2/6/2017,63.64,19796360,0,0.57652199
8/20/2014,44.95,24770487,0,0.131224959
2/27/2017,64.23,15871507,0,0.078300921
4/7/2016,54.46,18584125,0,0.082218722
10/18/2016,57.66,19149538,0,0.003562668
10/14/2016,57.42,27402451,0,0.800994366
3/6/2015,42.36,36248785,0,0.930093956
12/12/2014,46.95,34248371,0,0.594170649
12/29/2014,47.45,14439518,0,0.504253418
4/11/2016,54.31,21332336,0,0.094362618
6/4/2015,46.36,27745512,0,0.107425868
4/18/2016,56.46,23150318,0,0.349760678
6/22/2015,46.23,20318055,0,0.047473984
1/13/2016,51.64,66119018,-1,0.627265121
12/12/2016,62.17,20198081,0,0.73428648
7/8/2015,44.24,39785901,0,0.825811115
5/19/2014,39.75,24537438,0,0.537496182
6/24/2014,41.74,26518274,0,0.363658583
11/19/2014,48.22,26177450,0,0.121648356
11/18/2016,60.35,27686311,0,0.166160174
10/9/2014,45.85,34426595,1,0.210975336
6/3/2016,51.79,23368291,0,0.197034263
12/10/2014,46.9,30431788,0,0.518171947
7/7/2015,44.3,36435827,0,0.821264408
9/26/2014,46.41,27078764,0,0.295792181
5/28/2015,47.45,19283666,0,0.178596694
3/16/2015,41.56,35273452,0,0.099005076
5/21/2014,40.35,22399392,0,0.45407784
7/29/2016,56.68,30558718,0,0.952310193
12/3/2015,54.2,38627835,-1,0.779054635
4/6/2015,41.54,39223692,0,0.700584027
8/17/2015,47.32,21099746,0,0.150140717
1/25/2016,51.79,34497323,0,0.182896166
9/23/2016,57.43,19955336,0,0.336364214
3/26/2015,41.21,37495627,0,0.30654271
5/2/2016,50.61,33004106,0,0.767305709
10/13/2016,56.92,25313748,0,0.575651041
12/15/2015,55.2,39842998,0,0.779231283
7/2/2014,41.9,20208526,0,0.45103842
12/18/2014,47.52,40105550,0,0.854862807
4/28/2016,49.9,42758226,0,0.777503467
4/1/2016,55.57,24298612,0,0.333004065
10/11/2016,57.19,26497418,0,0.56202275
7/28/2015,45.34,34328948,-1,0.809121011
8/5/2014,43.08,26267500,0,0.036307773
6/16/2015,45.83,27070306,0,0.647086443
2/12/2016,50.5,33292336,0,0.800310821
5/27/2016,52.32,17653660,0,0.156471154
10/8/2014,46.78,33030972,0,0.650464326
10/28/2014,46.49,29049750,0,0.742310818
3/24/2017,64.98,22617105,0,0.847319516
9/19/2014,47.52,202526536,0,0.023029281
6/24/2016,49.83,87989073,1,0.258933851
9/8/2015,43.89,32204941,0,0.61123758
7/17/2015,46.62,29467107,0,0.409806161
2/22/2016,52.65,24854437,1,0.271518083
2/10/2017,64,18170729,0,0.088095915
8/29/2014,45.43,21608625,0,0.102176454
3/7/2016,51.03,38407847,0,0.879920991
10/21/2014,44.88,36433824,0,0.540931691
1/9/2015,47.19,23944181,0,0.880249861
7/20/2015,46.92,30631905,0,0.835131874
8/4/2014,43.37,34277387,0,0.436331172
6/6/2016,52.13,18243271,0,0.364276689
10/9/2015,47.11,28397372,0,0.024452252
7/14/2016,53.74,24545520,0,0.725063244
12/29/2015,56.55,27731403,0,0.658321135
6/15/2015,45.48,nan,0,0.888018468
9/10/2015,43.29,31234165,0,0.444815667
7/10/2015,44.61,25465757,-1,0.257797754
12/3/2014,48.08,23534752,0,0.438444921
2/26/2016,51.3,35869193,0,0.621266844
1/21/2015,45.92,39081143,-1,0.625670462
3/29/2017,65.47,13618424,0,0.461459928
6/17/2014,41.68,22518630,0,0.180585622
6/13/2016,50.14,83217844,0,0.456549667
8/27/2014,44.87,21287931,0,0.208522241
6/17/2015,45.97,28704061,0,0.373758174
11/29/2016,61.09,22366721,0,0.031786459
8/2/2016,56.58,35121958,0,0.117734803
9/14/2015,43.04,23633284,-1,0.7928717
8/9/2016,58.2,16920721,0,0.696145161
11/5/2014,47.86,22449594,0,0.849326329
6/23/2014,41.99,18743905,0,0.675661186
6/11/2014,40.86,nan,0,0.052852798
10/6/2015,46.75,27017160,0,0.368331313
2/10/2016,49.71,37899918,0,0.536484967
12/5/2014,48.42,27313449,0,0.723920409
8/13/2015,46.73,22627241,0,0.608648294
3/2/2016,52.95,29049172,0,0.58497559
