date,close,volume,move,
10/30/2014,46.5,4585130,0,0.467573406
6/13/2014,37.31,7712158,0,0.571098373
9/23/2014,40.06,6046870,0,0.278966251
1/2/2015,47.52,4985756,0,0.536869106
12/2/2016,50.46,6933279,-1,0.486304836
5/6/2016,58.43,7154650,0,0.577498841
9/10/2015,55.19,7336658,0,0.03054713
9/11/2015,55.91,5585888,0,0.936168956
10/9/2014,43.62,7463072,0,0.597664659
3/17/2017,57.8,10791471,0,0.283864637
6/28/2016,53.09,16985200,-1,0.861624838
11/4/2014,46.98,4441432,0,0.036719023
1/5/2017,53.06,8682193,0,0.297434109
5/20/2015,52.3,4759042,0,0.60681169
9/19/2014,40.9,19706420,0,0.476270881
8/16/2016,56.88,4901794,0,0.066827581
7/8/2015,54.64,6733634,0,0.414321241
12/22/2014,47.96,6615356,0,0.487860728
4/25/2016,59.21,6087724,0,0.084728485
9/22/2015,57.98,7552366,0,0.652087141
3/17/2016,63.18,9863952,0,0.783233564
11/4/2015,65.18,5190268,0,0.647927225
9/21/2015,58.28,8738558,0,0.915699027
1/7/2016,59.85,10881313,0,0.209829388
1/21/2015,46.76,5854060,-1,0.867570405
6/10/2016,55.11,12183598,0,0.30705443
12/27/2016,51.29,8175000,0,0.451897544
2/15/2017,56.64,5860997,0,0.011491057
4/6/2015,49.86,5027514,0,0.263191929
4/2/2015,49.83,3840442,0,0.617353674
2/22/2016,60.17,10692010,0,0.00497342
12/9/2016,51.72,5869828,0,0.251224519
3/22/2017,53.92,37413372,-1,0.527518436
10/10/2014,43.6,9048282,1,0.829079054
10/12/2015,63.22,5210244,0,0.75536675
10/17/2014,43.59,11407164,0,0.473007304
8/20/2014,39.46,3965796,0,0.114750974
5/11/2015,51.4,5339820,0,0.907533262
1/25/2017,53.86,6675011,0,0.426752528
12/11/2015,63.14,8276024,0,0.188901014
3/16/2016,61.86,7009940,-1,0.80590616
9/8/2015,55.88,5494640,0,0.882210091
12/19/2014,47.42,27001968,0,0.261993365
5/21/2015,52.2,5455100,0,0.060560246
5/14/2014,36.79,6283330,0,0.860295035
5/22/2014,37.44,4866302,0,0.52255496
4/29/2015,50.08,5395124,0,0.925543326
2/10/2016,57.41,13373823,1,0.028390049
6/20/2016,54.36,8429371,0,0.740155397
1/28/2016,61.2,10202437,0,0.929464769
9/14/2016,55.13,7621197,0,0.688081324
11/17/2016,51.59,7635100,0,0.369730836
6/1/2015,50.88,4944150,0,0.711225394
11/21/2014,48.71,7016488,0,0.292395148
9/3/2015,55.42,6052048,0,0.484133389
7/7/2015,55.64,7207070,0,0.317102488
3/9/2016,58.33,12758395,0,0.703445898
2/1/2017,53.02,8810937,0,0.34384991
8/23/2016,59.62,8222759,0,0.188988706
7/14/2016,58.49,7488355,0,0.529344217
12/24/2014,48.14,2441210,0,0.642459849
8/4/2014,38.58,4839350,0,0.466640827
