date,close,volume,move,
6/19/2014,49.47,11275702,0,0.382116518
9/23/2015,43.98,11635546,0,0.469309103
6/30/2014,48.93,16818489,0,0.603527264
11/15/2016,47.37,18645700,0,0.127148126
10/28/2015,46.48,11447271,0,0.943915925
3/7/2017,49.44,12896873,0,0.583058667
12/19/2016,52.91,13406960,0,0.097742162
1/12/2015,47.08,12730348,0,0.001063665
1/15/2015,47.1,12475814,0,0.239259391
5/21/2014,49.17,13950131,0,0.709305667
11/20/2015,45.39,12229719,0,0.619945706
11/9/2015,45.3,10743168,0,0.81661151
12/2/2014,49.11,18141045,0,0.170558685
11/23/2016,50.23,21470215,0,0.714881725
6/8/2015,47.44,16598593,0,0.861850011
1/14/2016,44.87,18429837,0,0.636656942
8/17/2016,53.17,12930096,0,0.078429143
8/31/2016,52.33,10390472,0,0.859403257
12/24/2014,47.67,7842569,0,0.487813667
8/3/2015,46.97,10321273,0,0.626963541
2/2/2017,48.28,17787157,0,0.578102927
6/9/2014,49.57,10144965,0,0.27490143
7/12/2016,55.47,14897591,0,0.910325423
11/27/2015,45.23,4108274,0,0.341223182
3/24/2017,49.68,9310665,0,0.106705857
9/19/2014,50.35,30872034,0,0.420264694
5/28/2015,49.54,8432832,0,0.661889582
10/20/2015,45.24,19695677,0,0.939794008
12/8/2014,48.9,14386273,1,0.890949214
11/30/2015,45.45,19399956,0,0.416706097
11/18/2014,51.22,8995807,0,0.400021908
11/6/2014,50.28,13293223,0,0.117138717
9/26/2016,52.15,10559019,0,0.734468137
11/12/2014,50.82,9888652,0,0.709516395
9/18/2014,49.69,12464218,0,0.050917143
10/9/2015,44.16,11938298,0,0.587087071
10/18/2016,50.27,10873857,0,0.163329425
1/2/2015,46.96,11421233,0,0.54007538
2/27/2015,49.45,17571181,0,0.563535988
9/19/2016,51.2,14578546,0,0.504914653
7/7/2016,55.38,13574093,0,0.376194292
9/15/2015,46.37,11953175,0,0.898793169
3/7/2016,52.21,14895959,0,0.732016464
6/17/2016,53.78,18836250,0,0.016557679
7/22/2016,56.1,10973194,0,0.805558466
4/27/2015,50.08,16562256,0,0.105606701
11/3/2016,46.87,12605073,0,0.569113821
2/3/2017,48.58,15166438,0,0.040321523
2/21/2017,49.43,19205958,0,0.471525689
10/30/2014,49.9,11979130,0,0.628796702
5/9/2014,48.48,14518133,0,0.691871163
2/9/2017,48.81,13577346,0,0.346859703
1/28/2015,46.05,19575820,0,0.867554979
6/3/2014,49.29,19683688,0,0.040861633
12/22/2015,46.34,11181513,0,0.057332945
6/22/2016,54.03,12959182,0,0.778842481
4/21/2015,49.17,33469126,0,0.474720267
12/10/2015,45.32,10402468,0,0.52205862
5/17/2016,50.9,10454565,0,0.52334979
7/14/2016,55.84,11098513,0,0.717201477
4/10/2015,49.22,9241887,0,0.138363224
9/26/2014,49.77,9036184,0,0.835408125
3/30/2015,49.12,11157568,0,0.616042536
6/11/2015,47.76,10029707,0,0.806863777
1/20/2015,48.18,16460342,0,0.803262917
1/26/2016,48.25,22601178,0,0.490636469
2/11/2016,49.39,30356382,0,0.495988142
7/3/2014,49.71,8238567,0,0.544254093
1/4/2016,45.87,17743797,0,0.156511472
9/27/2016,52.49,8259032,0,0.660204185
7/22/2015,46.45,21026578,0,0.13050656
4/22/2016,50.55,17810964,0,0.025734981
10/26/2016,47.63,15049207,0,0.279325574
3/23/2016,52.91,9666840,0,0.232181104
5/19/2015,49.55,15675071,0,0.554778216
7/29/2016,55.41,15508926,0,0.441740948
7/23/2015,46.35,13698195,0,0.560501318
9/29/2016,52.12,10804738,0,0.865746888
12/16/2015,46.51,18808282,0,0.002146309
5/8/2014,48.49,17359756,0,0.775418815
3/18/2015,49.54,17978310,0,0.956920542
2/25/2015,49.2,11398920,0,0.452277156
6/24/2016,54.43,43842717,0,0.530992814
12/19/2014,47.02,31316769,0,0.921771762
8/10/2015,47.23,13529463,0,0.35675535
12/29/2015,47.21,7667106,0,0.182461487
6/3/2016,50.92,9500653,0,0.767870129
8/28/2014,49.41,8026665,0,0.603774579
9/5/2014,49.94,11927378,0,0.567756572
8/25/2014,49.15,9914242,0,0.651833186
7/14/2015,47.41,9973554,0,0.161698836
1/14/2015,46.97,14795907,0,0.240811937
11/21/2016,48.31,10773257,-1,0.676389735
3/31/2017,48.75,19283600,0,0.90166717
2/5/2016,50.97,25631276,0,0.896520266
5/7/2015,49.73,10832439,0,0.42153786
4/14/2016,51.36,10080495,0,0.155566914
10/8/2014,49.87,15516084,0,0.397405333
6/19/2015,47.46,nan,0,0.767693233
4/12/2016,51.95,12334785,0,0.579237319
10/21/2015,44.86,17081827,-1,0.017090187
3/23/2017,49.64,9644949,0,0.694461409
3/29/2017,49.13,11160787,0,0.863161758
10/13/2015,44.36,11520971,0,0.083005472
4/13/2015,49.04,12235741,0,0.343546051
9/21/2016,51.87,14434727,0,0.279250572
5/5/2015,50.09,12646226,0,0.953317533
5/23/2014,49.74,12052215,0,0.339482077
10/3/2016,51.88,9120320,0,0.460657633
10/17/2014,48.07,18086282,0,0.460427912
9/30/2016,51.98,13077552,0,0.247420258
11/13/2015,44.23,nan,0,0.210766783
8/29/2016,52.5,11960437,0,0.946924035
7/17/2014,50.32,11492641,0,0.666996344
9/2/2014,49.77,8726415,0,0.217861261
10/14/2014,48.22,18526969,0,0.606697607
8/25/2016,52.75,8680067,0,0.913084873
1/26/2015,46.96,15064420,0,0.491108123
7/16/2015,47.83,11011383,0,0.698066904
12/23/2014,47.67,12254351,0,0.081672654
10/29/2015,46.4,7902323,0,0.712289571
1/7/2016,45.27,19277584,0,0.603210965
8/7/2015,46.36,10538028,0,0.931018174
12/22/2014,47.51,15302091,0,0.249349287
3/3/2015,49.55,11381428,0,0.624691024
12/5/2016,49.75,13074713,0,0.12002112
5/5/2014,47.39,12612715,0,0.154517779
5/16/2016,51.23,7898700,0,0.442603055
1/28/2016,49.01,19969180,0,0.176742794
12/23/2016,53.68,7201173,0,0.365641959
10/12/2016,50.3,8880127,0,0.763643563
6/29/2015,46.77,15032432,0,0.305752484
6/29/2016,55.06,18184056,0,0.508419001
9/7/2016,53.71,10612287,0,0.310947966
10/23/2015,46.16,13285053,0,0.897577852
4/5/2016,54.09,12969741,0,0.306160491
6/9/2015,47.34,12295087,0,0.546507869
12/14/2016,51.63,19920424,0,0.580141377
6/12/2015,47.25,10619101,0,0.516123295
12/1/2015,45.58,10580030,0,0.335947703
11/17/2014,51.4,6887136,0,0.202600325
7/18/2016,55.93,9623280,0,0.227170616
11/13/2014,51.2,11267141,0,0.565033251
9/29/2014,49.75,9218274,0,0.386874076
7/28/2015,45.89,16150867,0,0.673148501
2/3/2015,47.83,21481795,0,0.944726888
3/21/2016,53.44,10642522,0,0.710395069
9/2/2016,52.88,13206340,0,0.584412331
7/19/2016,55.7,10270117,0,0.248190867
12/17/2014,46.44,23696663,0,0.840047595
7/9/2014,48.9,14438372,0,0.753619502
2/19/2015,48.91,11609820,0,0.115831536
10/27/2016,48.54,22330679,0,0.75978983
5/1/2015,50.41,13872822,0,0.739409305
6/10/2014,49.52,11034662,0,0.634183504
11/11/2015,45.32,7904016,0,0.183840155
11/22/2016,49.49,22030008,0,0.141389848
11/16/2016,47.93,17253200,0,0.108591351
6/23/2015,47.77,14411380,0,0.035304637
9/6/2016,53.51,17235589,0,0.940957259
10/5/2016,50.27,17190908,0,0.063298432
8/26/2015,45.16,30803228,-1,0.888864292
2/27/2017,49.94,14029458,0,0.579462988
6/8/2016,51.52,10546166,0,0.546382002
5/15/2014,47.96,13115429,-1,0.518856861
11/2/2016,46.94,16488191,0,0.133712978
10/23/2014,48.22,15039242,0,0.884271754
6/2/2016,50.77,8721138,0,0.111066416
6/20/2014,49.39,18210631,0,0.863042914
7/20/2016,55.62,12008672,0,0.628108734
3/4/2015,49.07,13870589,0,0.303377716
9/3/2014,49.88,9100935,0,0.788150165
2/14/2017,48.27,20847187,0,0.730081324
2/9/2015,49.09,21052940,0,0.361600208
6/15/2016,52.84,10288979,0,0.204974735
9/25/2014,49.61,13665820,0,0.981367164
1/13/2017,52.55,9458660,0,0.220088095
2/10/2016,49.98,nan,0,0.805972215
9/17/2015,45.23,31465972,0,0.960379466
3/13/2017,49.47,10488812,0,0.650856066
8/2/2016,54,18428217,0,0.374109739
12/18/2014,47.05,22898409,0,0.312259525
1/27/2016,49.03,33736919,0,0.839446849
9/21/2015,44.8,10534500,0,0.377672877
5/21/2015,49.9,15667648,0,0.911034461
1/20/2017,52.72,15473700,0,0.045349811
7/1/2015,47,12545875,0,0.511097404
11/5/2015,46.2,11646909,0,0.114170018
1/31/2017,49.01,16844160,0,0.027043052
3/15/2017,50.14,12660774,0,0.020749229
3/22/2017,49.71,14950443,0,0.875984892
10/19/2015,44.7,17479852,0,0.177639535
10/22/2015,45.89,15342368,0,0.651962578
10/20/2014,48.48,13047384,0,0.243077762
10/3/2014,49.71,12073538,0,0.671932175
9/14/2015,45.65,9670284,0,0.636840309
10/30/2015,46.88,14753237,0,0.574826268
7/16/2014,50.96,12798832,0,0.797274598
8/19/2014,48.7,17348706,0,0.45569835
1/24/2017,50.12,43484680,0,0.772365003
8/24/2015,44.74,nan,1,0.911607502
6/17/2015,47.27,18216425,0,0.928587097
7/27/2016,55.32,17074574,0,0.012309166
5/14/2015,49.97,12094552,0,0.312443723
7/8/2014,48.76,12858230,0,0.401739048
7/29/2014,51.97,32966125,0,0.494205497
9/9/2015,45.39,14308063,0,0.149763675
7/8/2016,55.9,15946159,0,0.472726163
1/13/2015,47.18,13072777,0,0.824778258
4/28/2015,50.55,16342038,0,0.399839358
4/23/2015,50.05,22580151,0,0.410243051
3/14/2016,52.54,11727091,0,0.865913143
3/28/2017,49.3,12856251,0,0.53353581
5/19/2016,49.63,16008824,0,0.295985302
9/20/2016,51.27,14006322,0,0.038405553
5/22/2015,49.61,12324413,0,0.899590974
8/15/2016,53.61,8250875,0,0.457521641
4/7/2016,52,23021941,0,0.692180436
10/19/2016,50.38,10364936,1,0.892389617
7/10/2015,47,14727062,0,0.029540184
7/15/2016,55.84,13949691,0,0.307363669
12/27/2016,53.64,6255400,0,0.362049865
9/2/2015,45.35,17154505,0,0.652086698
6/27/2016,54.74,22581038,0,0.787585034
8/6/2015,46.63,9917174,0,0.439481121
5/10/2016,51.54,7899164,0,0.879838724
5/1/2014,47.22,22787418,0,0.00067208
9/22/2015,44.43,12318956,0,0.898512261
