date,close,volume,move,
4/28/2015,66.77,6297484,0,0.023496682
4/13/2016,79.71,nan,0,0.242010676
7/9/2014,54.04,5178168,0,0.707411012
7/23/2014,55.3,8198896,0,0.635612126
9/3/2015,70.4,8993956,0,0.563757343
6/5/2015,68.37,4413051,0,0.880078624
11/23/2016,79.57,12861961,0,0.613977706
9/14/2015,70.01,7031427,0,0.893961939
5/4/2016,77.07,8661524,0,0.399428023
9/24/2015,70.24,8232718,0,0.598940438
9/2/2015,69.62,9144307,0,0.805052166
4/5/2016,76.97,6010853,0,0.088422111
12/22/2014,66.05,5703328,0,0.935190514
10/17/2016,82.15,8473733,0,0.200598741
11/30/2016,77.32,15353872,1,0.4836896
8/16/2016,80.81,6182560,0,0.946988617
11/25/2016,80.13,6495826,0,0.619330926
6/9/2016,81.26,6670927,0,0.17214809
10/7/2014,52.01,8950228,-1,0.295437826
6/19/2015,68.69,8728814,0,0.433555939
12/2/2016,75.72,13629619,-1,0.810190343
6/1/2015,69.11,6309379,0,0.033361143
3/3/2017,88.79,5039227,0,0.240068623
3/11/2015,66.19,12105228,0,0.323534701
1/5/2016,76.27,8972650,0,0.319137199
3/2/2017,88.53,5442123,0,0.87951836
10/30/2015,77.58,11186481,1,0.694285213
2/16/2017,87.41,8680571,0,0.948837211
6/2/2014,53.38,6383700,0,0.552398012
5/19/2015,70.16,4351021,0,0.145031099
12/29/2015,79.21,4627142,0,0.029559343
1/15/2015,63.28,10584704,0,0.293579878
6/3/2014,52.83,9011896,0,0.782377526
5/22/2014,52.34,16870016,0,0.511848604
1/4/2016,75.7,13215181,0,0.487953648
9/19/2014,54.06,20475552,0,0.707507042
8/26/2014,54.18,6943976,0,0.631700821
7/11/2016,76.52,8185921,0,0.848663834
6/27/2014,52.32,12961296,0,0.138362507
9/2/2016,82,6356885,0,0.714232137
3/18/2016,73.78,15009713,0,0.390913105
7/31/2015,75.34,8526346,0,0.130202099
9/16/2014,54.32,9212124,0,0.821147244
8/12/2014,52.58,6442016,0,0.642404972
12/9/2016,79.14,6874300,0,0.091442142
3/17/2015,66.12,14290636,0,0.668144402
8/23/2016,80.8,10007765,0,0.29991542
9/23/2014,53.12,7963564,0,0.022296009
