date,close,volume,move,
8/16/2016,72.89,9763349,0,0.702173135
12/16/2014,82.96,7437440,0,0.860633171
5/16/2014,77.01,7244131,0,0.391432844
6/1/2015,74.73,5646037,0,0.770384829
8/24/2016,72.23,10050690,0,0.823799232
8/13/2014,74.03,6619067,0,0.457300255
12/5/2014,84.12,6570121,0,0.914290242
1/5/2016,62.92,13325958,0,0.348578262
10/28/2014,76.35,4979984,0,0.934611747
1/9/2017,68.71,8685232,0,0.996964247
4/23/2015,79.18,7468851,0,0.321573169
4/19/2016,69.77,7701650,0,0.619605554
1/20/2016,60.84,17323116,0,0.711809144
1/21/2016,61.88,12056694,0,0.22650684
7/29/2016,72.97,6302187,0,0.957573947
2/17/2017,69.37,12837447,-1,0.486112991
2/11/2016,65.32,11122686,0,0.129164768
3/31/2016,68.49,6276436,0,0.626852664
3/31/2015,82.25,5587701,0,0.462935743
7/1/2015,71.88,10773904,0,0.16824162
9/30/2014,76.47,5640744,0,0.179712623
4/7/2015,80.5,6606095,0,0.888859156
1/25/2017,66.89,7554800,0,0.487175502
10/24/2014,76.38,4483654,0,0.697615153
10/14/2015,60.03,80626370,0,0.03043794
8/30/2016,71.31,5774180,0,0.427179611
12/19/2014,85.16,12068826,0,0.5803542
8/12/2014,74.22,3928584,0,0.52029941
7/2/2014,75.62,4366772,0,0.007311856
2/5/2015,87.28,5090777,0,0.9576445
11/11/2016,71.23,8223872,0,0.856743963
3/14/2016,67.36,6710884,0,0.982836451
7/7/2015,73.79,12421297,0,0.29359965
10/10/2016,67.98,8988413,0,0.589376186
8/27/2015,66.08,13743197,0,0.263697244
8/25/2014,75.69,3393630,0,0.610356577
9/21/2015,63.72,7117576,0,0.903260522
5/24/2016,70.24,8789919,0,0.347679441
5/27/2014,75.59,5379301,0,0.939447205
5/3/2016,67,5908863,0,0.442856984
9/13/2016,71.46,7507915,0,0.517880295
3/9/2017,69.86,5907585,0,0.424939232
9/18/2015,63.34,12843638,0,0.475087854
11/3/2015,58.11,10253917,0,0.655804289
7/30/2014,74.78,9985703,0,0.097521921
6/9/2014,77.01,5552326,0,0.683379844
6/5/2015,73.06,10635085,0,0.87712857
6/17/2014,74.99,6544215,0,0.735254594
2/20/2015,84.3,13840389,0,0.003482093
2/28/2017,70.93,15952573,0,0.109764903
5/6/2015,77.65,5480055,0,0.820491347
9/16/2015,64.69,5624164,0,0.571540734
6/10/2015,72.93,11215817,0,0.522882158
12/30/2014,86.79,3265377,0,0.853320022
1/6/2017,68.26,9491115,0,0.058436105
4/1/2016,69.06,6602027,0,0.499215519
5/14/2015,78.72,6170246,0,0.445498353
5/5/2014,78.62,4590956,0,0.326528936
2/10/2016,65.79,9699657,0,0.215205924
8/1/2014,73.54,8224426,0,0.172754416
1/6/2015,86.31,8205145,-1,0.183917062
1/31/2017,66.74,9320880,0,0.384765626
7/22/2015,73.16,6961551,0,0.656935334
5/27/2016,70.75,5772191,0,0.831665895
4/28/2015,79.1,4895876,0,0.207716373
3/27/2015,81.35,5717385,0,0.798028481
9/16/2016,72.87,13935682,0,0.643420131
8/21/2014,75.55,5260626,0,0.70211882
1/19/2017,67.62,6821078,0,0.332744837
4/15/2015,79.74,6200361,0,0.741517127
12/16/2015,60.3,9960479,1,0.252165025
12/24/2014,86.43,2491789,0,0.660491121
7/25/2014,75.97,3948442,0,0.345960548
8/22/2014,75.73,4137761,0,0.399468023
11/6/2015,58.78,9977338,0,0.656552196
2/3/2017,66.5,7625330,0,0.214690565
5/7/2014,77.96,6086214,0,0.644107205
11/25/2015,60.24,7821028,0,0.706169284
9/19/2016,72.09,6920677,0,0.041518405
5/13/2016,64.94,13708409,0,0.291606058
1/11/2016,64.22,12653762,0,0.401799188
2/3/2015,86.19,8283477,0,0.98193603
8/20/2015,68.43,9849709,1,0.809767625
11/23/2015,60.26,10577039,0,0.595341131
6/3/2015,74.89,6093825,0,0.979150483
10/14/2016,68.45,6416018,0,0.093824426
7/30/2015,72.16,4604530,0,0.399390896
8/12/2015,72.58,8903056,0,0.548768227
3/19/2015,81.52,7212928,-1,0.102570734
2/15/2017,68.69,8563295,0,0.967121265
11/11/2014,79.01,5602406,0,0.552174717
